"","Name","Total","Prediction","Lower","Upper"
"1","Pilnikova Lenka","327.5",336,334,337
"2","Lee Jessie","333.5",325,324,327
"3","Caldona Jackielyn","320",310,309,311
"4","Smith Megan-Li","423.5",431,430,433
"5","Kariyawasam Kavishi","408",420,418,422
"6","Premji Suzan","360",374,372,375
"7","Corrigan Evie","468",460,458,461
"8","Casey Kayla","410",408,407,410
"9","Cook Jodie","387.5",400,399,402
"10","Shon Catherine","402.5",410,409,412
"11","Hoey Jodie","327.5",312,311,314
"12","Vidal Makeda","462.5",461,459,464
"13","Macpherson Charlotte","462.5",475,473,477
"14","Zur Linden Emily","471.5",475,473,476
"15","Hurndell Gillian","397.5",395,394,396
"16","Krishna Amelia","347.5",342,340,344
"17","Strickland Sarah","317.5",306,304,308
"18","Leece Stephanie","287.5",296,293,298
"19","Solarska Eliza","287.5",286,284,288
"20","Corr Jo-Ann","245",245,243,247
"21","Nunan Claire","512.5",509,507,511
"22","Govind Hema","511",499,497,501
"23","Grzybowski Rashena","487.5",490,488,492
"24","Tocher Claire","427.5",437,435,439
"25","Hema Kiri","422.5",421,419,422
"26","Carey Niamh","352.5",350,348,352
"27","Schlater Brittany","632",633,629,637
"28","Coggle Rebecca","477.5",479,475,483
"29","Christensen Aimee","445",448,446,450
"30","Blenkin Rebecca","442.5",437,435,438
"31","Matthews Abigail","395",404,402,405
"32","Bryans Holly","474",479,476,481
"33","Kitigawa Lisa","425",428,427,430
"34","Lai Karen","422.5",424,423,426
"35","Fruean Lagi","425",421,419,422
"36","Spence Alyssa-Joy","440",423,422,424
"37","Hanrahan Em","395",398,397,399
"38","Ng Amy","395",392,390,394
"39","Roberts Katie","392.5",395,391,398
"40","Moore Ruth","392.5",392,390,393
"41","Tongotea Karlina","600",599,596,602
"42","Smith Nicole","475",474,471,476
"43","Reid-Clavelle Danielle","467.5",470,468,472
"44","McQuilling Caryl","440",434,432,435
"45","Gladden Morgan","427.5",432,430,433
"46","Griffin Rachele","432.5",423,422,425
"47","Eaton Natasha","405",398,397,400
"48","Husaimee Hashilah","390",391,389,392
"49","Young Elizabeth","300",295,293,298
"50","Morris Isobel","187.5",202,199,205
"51","Lindsay Teagan","210",205,201,208
"52","McMillan Zaviera","320.5",314,312,316
"53","Sheikh Khan Muskan","282.5",267,265,269
"54","Dahler Shelby","DSQ",371,368,374
"55","Gnana Divya Nagam","360",322,318,326
"56","Bhadha Yasmin","368",379,376,382
"57","Jamieson Anna","325",329,327,331
"58","Sadler-Barker Tiggy","DSQ",369,366,371
"59","Ain Duratul","257.5",261,258,263
"60","Clark Molly","330",340,338,342
"61","Stephen Hana","302.5",306,304,307
"62","Wong Milly","297.5",297,296,299
"63","Marron Kathryn","295",292,290,294
"64","Ye-Lee Dana","407.5",410,408,412
"65","Fiorvento Sara","337.5",329,327,330
"66","Pham Vy Thuy","410",421,420,423
"67","Perkins Zoe","400",390,389,392
"68","Janes Megan","377.5",384,382,386
"69","Black Sophie","357.5",369,367,371
"70","Roberts Lizzy","367.5",354,353,356
"71","D Kavitha","317.5",318,316,321
"72","Morgan Beca","300",303,301,305
"73","Worley Charlotte","477.5",479,477,481
"74","Waite Harriet","430",408,406,410
"75","Edgar Sam","412.5",426,424,428
"76","G Naik Pratheeksha","325",349,348,350
"77","Luka Rawinia","480",463,461,464
"78","Andrews Breana","380",338,330,345
"79","Sharma Yashika","295",312,310,315
"80","Ghosh Moumita","450",406,404,408
"81","du Plessis Karin","382.5",368,366,371
"82","Davies Caitlin","415",416,415,418
"83","Manning Veronica","402.5",398,396,401
"84","Corrigan Sally","402.5",383,381,385
"85","Carpenter Lily","395",380,378,381
"86","McQuoid Madi","408",407,401,412
"87","White Olivia","407.5",412,410,413
"88","Irvine Michelle","367.5",359,358,360
"89","Bartolo Natalie","315",307,305,308
"90","Metha Neeta","272.5",278,276,279
"91","Jeffery Megan","327.5",329,326,331
"92","Vishnoi Ekta","315",311,309,313
"93","Stott Emma","270",284,282,286
"94","Morris Emma","240",234,231,236
"95","Trovato Meaghan","347.5",351,349,352
"96","Lau Letitia","315",302,300,303
"97","Lindsay Kerry","245",239,237,241
"98","Wagner Marie","471",482,480,484
"99","Abbott Janelle","430",424,422,426
"100","Shearer Penelope","402.5",399,397,400
"101","Ferris-Bretherton Raina","400",414,412,416
"102","Grant Lisa","392.5",398,395,401
"103","Bosward-Fielding Abbi","395",391,390,393
"104","Park Fiona","357.5",366,365,368
"105","Hall Elizabeth","350",334,332,337
"106","Taylor Siobhan","457.5",451,449,453
"107","O'Callaghan Tracy","435",435,432,437
"108","Berger Nicola","440",435,432,437
"109","Bennett Trina","440",429,427,431
"110","Jessop Roshelle","428",428,425,430
"111","Green Melanie","422.5",417,415,419
"112","Sperske Alexa","411.5",417,415,419
"113","Ajanta Hilton","373",363,361,364
"114","Marangoni Pia","358.5",358,356,359
"115","Sciffer Katie","340",335,334,336
"116","Jones Delyth","342.5",343,342,345
"117","Raghunath Vinutha","267.5",282,280,284
"118","Lane Angelina","270",264,262,266
"119","Jensen Linda","315",313,311,315
"120","Humphreys Karen","307.5",305,303,307
"121","Forker Annette","282.5",280,278,282
"122","Saldanha Vilma","262.5",267,265,269
"123","Spragg Rachel","267.5",276,274,278
"124","Mishra Ranjita","375",362,360,364
"125","Seiuli Melissa","372.5",361,359,362
"126","Hendy Claire","322.5",308,307,310
"127","Taylor Sue","295",290,287,292
"128","Telea Ime","500",469,466,472
"129","Cosner Ali","455",435,432,437
"130","Laird Joanne","432.5",410,408,412
"131","Jackson Elaine","392.5",383,381,385
"132","Lauder Angela","357.5",363,361,365
"133","Wilson Michelle","305",314,312,316
"134","Breen Michelle","320",321,318,323
"135","Grennan Tree","272.5",254,251,256
"136","Condon Carole","345",347,345,349
"137","Dwyer Kylie","348.5",347,345,349
