"","Group.1","x","x.1","x.2","cluster"
"1","Algeria",0.75,0,0.25,"1"
"2","Argentina",0.666666666666667,0.333333333333333,0,"1"
"3","Australia",0.385281385281385,0.324675324675325,0.29004329004329,"1"
"4","Belarus",1,0,0,"1"
"5","Brazil",0.557692307692308,0.269230769230769,0.173076923076923,"1"
"6","Cameroon",1,0,0,"1"
"7","Canada",0.442914979757085,0.298785425101215,0.2582995951417,"1"
"8","Colombia",0.666666666666667,0.333333333333333,0,"1"
"9","Dominican Republic",0.5,0.25,0.25,"1"
"10","El Salvador",1,0,0,"1"
"11","England",0.354315379623621,0.309539260220636,0.336145360155743,"1"
"12","Estonia",0.5,0.25,0.25,"1"
"13","Finland",0.340782122905028,0.335195530726257,0.324022346368715,"1"
"14","France",0.377777777777778,0.355555555555556,0.266666666666667,"1"
"15","Iceland",0.5,0.4375,0.0625,"1"
"16","Ireland",0.433884297520661,0.260330578512397,0.305785123966942,"1"
"17","Isle of Man",0.666666666666667,0,0.333333333333333,"1"
"18","Luxembourg",0.5,0.333333333333333,0.166666666666667,"1"
"19","Nauru",1,0,0,"1"
"20","New Zealand",0.530612244897959,0.255102040816327,0.214285714285714,"1"
"21","Niue",1,0,0,"1"
"22","Peru",0.714285714285714,0.285714285714286,0,"1"
"23","Philippines",1,0,0,"1"
"24","Poland",0.48314606741573,0.393258426966292,0.123595505617978,"1"
"25","Portugal",1,0,0,"1"
"26","Romania",0.5,0.4,0.1,"1"
"27","Scotland",0.420118343195266,0.29585798816568,0.284023668639053,"1"
"28","Singapore",1,0,0,"1"
"29","Slovenia",0.461538461538462,0.307692307692308,0.230769230769231,"1"
"30","Uruguay",0.666666666666667,0.333333333333333,0,"1"
"31","US Virgin Islands",0.461538461538462,0.384615384615385,0.153846153846154,"1"
"32","Vietnam",1,0,0,"1"
"33","Belgium",0.27027027027027,0.540540540540541,0.189189189189189,"2"
"34","Bulgaria",0,1,0,"2"
"35","Chile",0,1,0,"2"
"36","Costa Rica",0,1,0,"2"
"37","Croatia",0.25,0.402173913043478,0.347826086956522,"2"
"38","Cyprus",0,1,0,"2"
"39","Czechia",0.37007874015748,0.440944881889764,0.188976377952756,"2"
"40","Ecuador",0.384615384615385,0.615384615384615,0,"2"
"41","Georgia",0,1,0,"2"
"42","Germany",0.244360902255639,0.503759398496241,0.25187969924812,"2"
"43","Guyana",0,1,0,"2"
"44","Hong Kong",0.25,0.5,0.25,"2"
"45","Hungary",0.333333333333333,0.666666666666667,0,"2"
"46","Italy",0.365217391304348,0.434782608695652,0.2,"2"
"47","Kazakhstan",0.333333333333333,0.5,0.166666666666667,"2"
"48","Libya",0,1,0,"2"
"49","Lithuania",0.30952380952381,0.523809523809524,0.166666666666667,"2"
"50","Mexico",0.166666666666667,0.5,0.333333333333333,"2"
"51","New Caledonia",0,1,0,"2"
"52","Norway",0.273148148148148,0.550925925925926,0.175925925925926,"2"
"53","Russia",0.333333333333333,0.470588235294118,0.196078431372549,"2"
"54","Serbia",0.230769230769231,0.423076923076923,0.346153846153846,"2"
"55","Slovakia",0.333333333333333,0.666666666666667,0,"2"
"56","Sweden",0.264705882352941,0.529411764705882,0.205882352941176,"2"
"57","Switzerland",0.241935483870968,0.516129032258065,0.241935483870968,"2"
"58","Taiwan",0,1,0,"2"
"59","Thailand",0,1,0,"2"
"60","Turkey",0.333333333333333,0.666666666666667,0,"2"
"61","UAE",0,1,0,"2"
"62","UK",0.2,0.52,0.28,"2"
"63","Ukraine",0.25,0.625,0.125,"2"
"64","USA",0.3369826435247,0.384779706275033,0.278237650200267,"2"
"65","Wales",0.378378378378378,0.405405405405405,0.216216216216216,"2"
"66","Zimbabwe",0,1,0,"2"
"67","Belize",0.0769230769230769,0.307692307692308,0.615384615384615,"3"
"68","Denmark",0.260869565217391,0.173913043478261,0.565217391304348,"3"
"69","India",0.166666666666667,0.333333333333333,0.5,"3"
"70","Iran",0,0,1,"3"
"71","Japan",0.105263157894737,0.421052631578947,0.473684210526316,"3"
"72","Latvia",0.25,0.25,0.5,"3"
"73","Mongolia",0,0,1,"3"
"74","N.Ireland",0.361111111111111,0.236111111111111,0.402777777777778,"3"
"75","Netherlands",0.364016736401674,0.259414225941423,0.376569037656904,"3"
"76","South Africa",0.368932038834951,0.223300970873786,0.407766990291262,"3"
"77","Spain",0.344827586206897,0.206896551724138,0.448275862068966,"3"
"78","Sri Lanka",0,0,1,"3"
